ingredient,cfp,wfp,mapping_type,mapped_item
rendered butter,"8,48",5659,ingredient,BUTTER*
chocolate crumb pie shell,"3,16","20717,0",typology,CHOCOLATE
almond flavored liqueur,"1,88",11264,ingredient,ALMOND
hard apple cider,"2,86",1140,ingredient,APPLE JUICE (I)
instant chocolate pudding,"3,16","20717,0",typology,CHOCOLATE
chicken bacon,"5,99",6116,ingredient,BACON
diced zucchini,"0,70",336,ingredient,ZUCCHINI
slice cooked bacon,"5,99",6116,ingredient,BACON
amaretti cookie,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
fresh spinach leaf,"0,34",292,ingredient,SPINACH
smoked pork sausage,"5,99",6177,ingredient,PORK SAUSAGES
chopped fresh parsley leaves,,,no_match,NO_MATCH
cream of onion soup,,,no_match,NO_MATCH
green tea with mint tea bag,,,no_match,NO_MATCH
gray salt,,,no_match,NO_MATCH
masticha,"0,84","8280,0",typology,SPICIES
dry red pepper,"0,84","8280,0",typology,SPICIES
herb stuffing mix,,,no_match,NO_MATCH
wide egg noodle,"3,15",4637,ingredient,EGG PASTA*
Jello Instant Vanilla Pudding,,,no_match,NO_MATCH
brown rice pasta,"1,21",1508,ingredient,PASTA*
gemelli pasta,"1,21",1508,ingredient,PASTA*
bailey,,,no_match,NO_MATCH
diced cooked chicken,"3,88","4325,0",typology,POULTRY BONE FREE MEAT
crushed peppercorn,"0,65",379,ingredient,PEPPER
thyme leaves,"0,84","8280,0",typology,SPICIES
strawberry ice cream topping,"0,61",413,ingredient,STRAWBERRY
egg noodles,"3,15",4637,ingredient,EGG PASTA*
cornbread stuffing,,,no_match,NO_MATCH
nam pla,,,no_match,NO_MATCH
kahlua,"0,55","960,0",typology,COFFEE LIQUID
softened unsalted butter,"8,48",5659,ingredient,BUTTER*
fresh grated ginger,"0,84",1657,ingredient,GINGER
poultry,"2,82",3330,ingredient,CHICKEN MEAT WITH BONE
obrien frozen potato,"0,24",555,ingredient,POTATO
chocolate-covered coffee bean,"6,71",19928,ingredient,COFFEE BEAN
devils food cake mix,"1,94",3468,ingredient,COCOA CAKES AND CROISSANT**
white cake mix,,,no_match,NO_MATCH
lemon oil,"2,11","6792,0",typology,OIL
pappardelle,,,no_match,NO_MATCH
medium shallot,"0,25",272,ingredient,SHALLOT
dried shrimp,"7,04","1856,0",ingredient,PRAWNS/SHRIMPS
bunch green onion,"0,22",290,ingredient,ONION
chicken giblet,"3,88","4325,0",typology,POULTRY BONE FREE MEAT
sections,,,no_match,NO_MATCH
tamarind juice,"2,86","1019,0",typology,FRUIT JUICE
cubed ham,"5,99","6177,0",typology,PORK CURED MEAT
Sweet \n Low,,,no_match,NO_MATCH
peanut butter cookie dough,"1,84",,ingredient,PEANUT BUTTER
garlic seasoning,"0,84",2265,ingredient,GARLIC POWDER
butter powder,,,no_match,NO_MATCH
Bisquick Heart Smart mix,,,no_match,NO_MATCH
firm butter,"8,48",5659,ingredient,BUTTER*
bouillon granules,,,no_match,NO_MATCH
rich chicken broth,,,no_match,NO_MATCH
chicken patty,"2,82",3330,ingredient,CHICKEN MEAT WITH BONE
baharat,,,no_match,NO_MATCH
lemon pudding,"0,34",642,ingredient,LEMON
template4,,,no_match,NO_MATCH
braunschweiger,,,no_match,NO_MATCH
triscuit,,,no_match,NO_MATCH
caponata,,,no_match,NO_MATCH
English mustard,"0,84","8280,0",typology,SPICIES
raclette cheese,"8,93",5253,ingredient,CHEESE
nonstick spray,,,no_match,NO_MATCH
unsalted peanuts,"0,83",2782,ingredient,PEANUT
lowfat mozzarella cheese,"8,20",5253,ingredient,MOZZARELLA
dry vermouth,"0,66","524,0",typology,WINE
onion roll,"0,22",290,ingredient,ONION
sugar-free instant chocolate pudding,"4,30",,ingredient,CHOCOLATE
reduced-fat cream cheese,"5,45","5253,0",typology,CHEESE FRESH
frozen light whipped dessert topping,"4,30",,ingredient,ICE CREAM
onion rings,"0,22",290,ingredient,ONION
dough roll,"0,86",667,ingredient,BREAD
whole almonds,"1,88",11264,ingredient,ALMOND
white pearl onion,"0,22",290,ingredient,ONION
hot banana pepper,"3,73",379,ingredient,PEPPER (G)
corn chex,"2,64","2196,5",typology,BREAKFAST CEREALS
corn flake crumbs,"2,64","2196,5",typology,BREAKFAST CEREALS
low-fat cheddar cheese,"8,93",5253,ingredient,CHEESE
Stilton,,,no_match,NO_MATCH
raspberry extract,"0,64",413,ingredient,RASPBERRY
Ragú® Pasta Sauce,"1,19","151,3",typology,TOMATO SAUCE
freshly ground nutmeg,"0,84",34319,ingredient,NUTMEG
emmenthaler,"9,59",5253,ingredient,EMMENTAL
Appenzeller,"9,59",5253,ingredient,EMMENTAL
shoe peg corn,,,no_match,NO_MATCH
quorn,"2,27",1724,ingredient,QUORNE
blueberry preserve,"0,78",845,ingredient,BLUEBERRY
gingersnaps,"0,84",1657,ingredient,GINGER
honey barbecue sauce,,,no_match,NO_MATCH
buttershots,,,no_match,NO_MATCH
shelled,,,no_match,NO_MATCH
crescent,"0,86","901,8",typology,BREAD
rusk,"2,64","2196,5",typology,BREAKFAST CEREALS
taco chip,"0,98","1258,0",typology,CRACKERS
salad mix,,,no_match,NO_MATCH
reduced-fat feta cheese,"5,45","5253,0",typology,CHEESE FRESH
dried chives,"0,84","8280,0",typology,SPICIES
fresh strawberries,"0,61",413,ingredient,STRAWBERRY
whole wheat spaghetti,"1,21",1508,ingredient,PASTA*
garni,,,no_match,NO_MATCH
apple filling,"0,81",6847,ingredient,APPLES
soda bread,"0,86",667,ingredient,BREAD
mixed herb,,,no_match,NO_MATCH
beef suet,,,no_match,NO_MATCH
blue,,,no_match,NO_MATCH
soy cheese,,,no_match,NO_MATCH
leaf fresh basil,,,no_match,NO_MATCH
bottle barbecue sauce,,,no_match,NO_MATCH
soft cheese,"8,93",5253,ingredient,CHEESE
fat free cream cheese,"5,45","5253,0",typology,CHEESE FRESH
miniature peanut butter cup,"1,84",,ingredient,PEANUT BUTTER
parmesan rind,,,no_match,NO_MATCH
chopped red pepper,,,no_match,NO_MATCH
torn fresh basil,,,no_match,NO_MATCH
oaxaca cheese,"8,93",5253,ingredient,CHEESE
loaf bread,"0,86",667,ingredient,BREAD
prawns,"7,04","1856,0",ingredient,PRAWNS/SHRIMPS
quinoa flour,"0,97",1618,ingredient,QUINOA
cereal flake,"2,64",1977,ingredient,BARLEY FLAKES
whey,"1,44",1599,ingredient,BUTTERED MILK
Roquefort,,,no_match,NO_MATCH
green olives,"0,64",3015,ingredient,OLIVES
saltines,"0,93",1378,ingredient,FLAVORED CRACKERS**
canned whole tomato,"1,48","806,6",typology,VEGETABLES CANNED
cooked kidney bean,"0,43",5053,ingredient,BEAN
fresh ground nutmeg,"0,84",34319,ingredient,NUTMEG
chai concentrate,,,no_match,NO_MATCH
light cheddar cheese,"8,93",5253,ingredient,CHEESE
chilis,"0,65",379,ingredient,PEPPER
coarsely chopped nuts,"1,11","11264,0",typology,NUTS
Fritos corn chip,,,no_match,NO_MATCH
squash seed,"0,88","3087,5",typology,SEEDS
Crispix cereal,"2,64","2196,5",typology,BREAKFAST CEREALS
banana pulp,"0,34",748,ingredient,BANANA
almond brickle chip,,,no_match,NO_MATCH
link,"5,19","2313,5",ingredient,LING
apricot spread,"0,30",1287,ingredient,APRICOT
soft bread cube,"0,86",667,ingredient,BREAD
section,,,no_match,NO_MATCH
alfredo sauce mix,,,no_match,NO_MATCH
pignolis,,,no_match,NO_MATCH
butter flavor,,,no_match,NO_MATCH
nonstick cooking spray,"2,11","6792,0",typology,OIL
thyme leave,"0,84","8280,0",typology,SPICIES
semisweet chocolate chunk,"4,30",,ingredient,CHOCOLATE
shredded Italian cheese,"9,59",5060,ingredient,CHEESE GRATED
dark chocolate kiss,"3,16",20717,ingredient,DARK CHOCOLATE
French baguette,"0,86",667,ingredient,BREAD
fresh lemon,"0,34",642,ingredient,LEMON
fudge topping,,,no_match,NO_MATCH
fresh tangerine zest,"2,15","748,0",typology,FRUIT
chocolate graham cracker,"3,16","20717,0",typology,CHOCOLATE
boursin,"9,59",5253,ingredient,CAMEMBERT
buffalo meat,"78,80",,ingredient,BUFFALO BONE FREE MEAT*
buttercream frosting,,,no_match,NO_MATCH
chopped fresh tomato,"1,47",713,ingredient,TOMATO CHOPPED
strong brewed coffee,"0,55",960,ingredient,COFFEE STRONG
instant cappuccino mix,"0,55","960,0",typology,COFFEE LIQUID
Alfredo,,,no_match,NO_MATCH
frisee,,,no_match,NO_MATCH
chopped spinach,"0,34",292,ingredient,SPINACH
dark unsweetened cocoa powder,"3,16",15618,ingredient,COCOA POWDER
softened margarine,"1,39",1324,ingredient,MARGARINE*
frozen hash brown,"0,81","750,5",typology,VEGETABLES FROZEN
sandwich cookie,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
chocolate flavoring,"3,16","20717,0",typology,CHOCOLATE
maltitol,,,no_match,NO_MATCH
large flour tortilla,,,no_match,NO_MATCH
frozen chopped broccoli,"0,57",336,ingredient,BROCCOLI
browning sauce,"1,46",613,ingredient,SOY SAUCE
green chili salsa,,,no_match,NO_MATCH
smoked cheese,"8,93",5253,ingredient,CHEESE
low-fat cream cheese,"5,45","5253,0",typology,CHEESE FRESH
grated monterey jack cheese,"9,59",5060,ingredient,CHEESE GRATED
orange puree,"0,30",654,ingredient,ORANGE
Italian spice,"0,84","8280,0",typology,SPICIES
minced canned chipotle chile,"1,48","806,6",typology,VEGETABLES CANNED
soft cream cheese,"5,45","5253,0",typology,CHEESE FRESH
sun-dried tomatoes,,,no_match,NO_MATCH
campanelle pasta,"1,21",1508,ingredient,PASTA*
canned crushed tomato,"1,48","806,6",typology,VEGETABLES CANNED
large Spanish onion,"0,22",290,ingredient,ONION
fat free feta cheese,"8,93",5253,ingredient,CHEESE
package frozen spinach,"0,81",834,ingredient,SPINACH (F)
chopped dill,"1,865","336,0",typology,VEGETABLES
dried breadcrumbs,"0,86","901,8",typology,BREAD
bartlett pear,"0,27",922,ingredient,PEAR
fresh breadcrumbs,"0,86","901,8",typology,BREAD
Nestle Nesquik powder,"3,16",15618,ingredient,COCOA POWDER
slice prosciutto,"5,99","6177,0",typology,PORK CURED MEAT
oatmeal cookie,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
grated parmigiano-reggiano cheese,"9,59",5253,ingredient,PARMIGIANO REGGIANO
hard salami,,,no_match,NO_MATCH
portabella mushroom cap,"2,06",,ingredient,MUSHROOM*
jalapeno pepper cheese,"5,45","5253,0",typology,CHEESE FRESH
non-dairy whipped topping,,,no_match,NO_MATCH
white chocolate curl,"3,16","20717,0",typology,CHOCOLATE
bay scallop,"5,67","1856,0",typology,SHELLFISH
smoked cheddar cheese,"8,93",5253,ingredient,CHEESE
Oreo cookie crumbs,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
seasoned breadcrumb,,,no_match,NO_MATCH
digestive biscuit,"1,47","1870,3",typology,BISCUITS
chopped fresh spinach,"0,81",834,ingredient,SPINACH (F)
chocolate chip cookie dough,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
grated carrots,"0,81","750,5",ingredient,CARROTS (F)
buffalo wing sauce,,,no_match,NO_MATCH
brown sugar blend,"0,78","1294,5",typology,SUGAR
toasted pine nuts,,,no_match,NO_MATCH
white baking chocolate,"3,16","20717,0",typology,CHOCOLATE
toasted sliced almond,"1,88",11264,ingredient,ALMOND
canned salmon,"3,37",2193,ingredient,SALMON
Ro-Tel tomatoes,"0,45",41,ingredient,TOMATO
shake-n-bake,,,no_match,NO_MATCH
garlic cheese roll,"8,93",5253,ingredient,CHEESE
cream of broccoli soup,"5,45",3838,ingredient,CREAM
ground sage,,,no_match,NO_MATCH
snaps,,,no_match,NO_MATCH
corn tortilla chip,"0,87",1167,ingredient,MAIZE FLOUR & MEAL
crushed buttery cracker,"1,35",1447,ingredient,PLAIN CRACKERS**
pretzel rod,"0,98","1258,0",typology,CRACKERS
hash brown potatoes,"0,24",555,ingredient,POTATO
chambord,"0,32","1506,5",ingredient,CARROB
grape Jell-O,,,no_match,NO_MATCH
salt water,,,no_match,NO_MATCH
Ro-Tel tomato,,,no_match,NO_MATCH
cream-filled sandwich cookie,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
dried Italian herb seasoning,,,no_match,NO_MATCH
cream-style cottage cheese,"8,93",5253,ingredient,CHEESE
cheese ravioli,"8,93",5253,ingredient,CHEESE
penne rigate,,,no_match,NO_MATCH
hersheys miniature chocolate chip,"4,30",,ingredient,CHOCOLATE
mashed potatoes,"0,81",575,ingredient,POTATOES (F)
crumbled cooked bacon,"5,99",6116,ingredient,BACON
lettuce heart,"0,41",237,ingredient,LETTUCE
sausage patty,"5,99",6177,ingredient,SAUSAGES
fat-free parmesan cheese,"9,59",5060,ingredient,CHEESE GRATED
hake,"10,40","2313,5",ingredient,HAKE
corn tortilla chips,"0,98","1258,0",typology,CRACKERS
crisco,,,no_match,NO_MATCH
kalamata olives,"0,64",3015,ingredient,OLIVES
yellow cheddar cheese,"8,93",5253,ingredient,CHEESE
cream cheese spread,"5,45",3838,ingredient,CREAM
small hot red chili pepper,"0,84","8280,0",typology,SPICIES
nacho chip,"1,35","1423,3",typology,CRISPBREAD
American cheese,"8,93",5253,ingredient,CHEESE
chopped avocado,"0,54",1805,ingredient,AVOCADO
regular cheddar cheese,"8,93",5253,ingredient,CHEESE
medium green pepper,"3,73",379,ingredient,PEPPER (G)
bread bowl,"0,86",667,ingredient,BREAD
hormel chili,,,no_match,NO_MATCH
Frenchs cheddar french fried onion,,,no_match,NO_MATCH
raspberry-flavored wine cooler,"0,64",413,ingredient,RASPBERRY
Kraft Old English cheese spread,"8,93",5253,ingredient,CHEESE
pie,,,no_match,NO_MATCH
no-cook lasagna noodle,"1,21",1508,ingredient,PASTA*
extra lean ground beef,,,no_match,NO_MATCH
sweet Hungarian paprika,"0,84","8280,0",typology,SPICIES
raisin nut bread,"0,81","2636,5",ingredient,RAISIN
Italian seasoned breadcrumbs,,,no_match,NO_MATCH
ham slice,"7,95",6177,ingredient,PORK HAM
fresh cherry,"0,46","1506,5",ingredient,CHERRY
Mac n Cheese,"8,93",5253,ingredient,CHEESE
brandy flavoring,,,no_match,NO_MATCH
extra-sharp cheddar cheese,"8,93",5253,ingredient,CHEESE
pork neck bone,"3,44",5798,ingredient,PORK CUTS WITH BONE
shredded mild cheddar cheese,"9,59",5060,ingredient,CHEESE GRATED
extra cheese,"8,93",5253,ingredient,CHEESE
Tomato,"0,45",41,ingredient,TOMATO
Mac n\ Cheese,"8,93",5253,ingredient,CHEESE
canned refrigerated buttermilk biscuits,"1,47","1870,3",typology,BISCUITS
fresh chive,,,no_match,NO_MATCH
parmesean cheese,"9,59",5060,ingredient,CHEESE GRATED
smoked provolone cheese,"8,93",5253,ingredient,CHEESE
jar pasta sauce,"1,19","151,3",typology,TOMATO SAUCE
bel paese cheese,"8,93",5253,ingredient,CHEESE
aged cheddar cheese,"8,93",5253,ingredient,CHEESE
Durkee onion,"0,22",290,ingredient,ONION
pizza cheese,"8,20",5253,ingredient,MOZZARELLA
canned mushroom,"1,48","806,6",ingredient,CARROTS CANNED
stewing beef,,,no_match,NO_MATCH
large white onion,"0,22",290,ingredient,ONION
creamed horseradish,,,no_match,NO_MATCH
Heinz 57 steak sauce,"1,46",534,ingredient,KETCHUP
vegetarian ground beef,,,no_match,NO_MATCH
ranch style beans,"0,78","555,5",ingredient,BEANS IN CAN
thousand island dressing,"1,46","572,0",typology,DRESSING
shells,,,no_match,NO_MATCH
pickled red onion,"0,22",290,ingredient,ONION
tail,"5,19","2313,5",typology,FISH
papaya seeds,"0,88",2188,ingredient,POPPY SEED
hot apple cider,"2,86",1140,ingredient,APPLE JUICE (I)
poppy seed salad dressing,"0,88",2188,ingredient,POPPY SEED
banana liquor,"0,34",748,ingredient,BANANA
orange jelly crystal,"0,30",654,ingredient,ORANGE
lemonade drink mix,,,no_match,NO_MATCH
strawberry-banana yogurt,"2,55","1540,0",typology,YOGURT
cordial,,,no_match,NO_MATCH
vanilla frozen yogurt,"2,55","1540,0",typology,YOGURT
container French onion dip,"0,22",290,ingredient,ONION
orange yogurt,"2,55","1540,0",typology,YOGURT
Red Bull,,,no_match,NO_MATCH
Pina Colada mix,"2,86","1019,0",typology,FRUIT JUICE
clam chowder,"5,67","1856,0",typology,SHELLFISH
pea protein powder,"0,45",1979,ingredient,PEA
amaretto syrup,,,no_match,NO_MATCH
raspberry-lemonade drink mix,"2,86","1019,0",typology,FRUIT JUICE
frozen peaches,"0,39",910,ingredient,PEACH
slices frozen mango,"0,31",1855,ingredient,MANGO
japanese plum wine,"0,32",2180,ingredient,PLUM
lime concentrate,"0,34",642,ingredient,LIME
mango-orange juice,"2,86","1019,0",typology,FRUIT JUICE
frozen peach slice,"0,39",910,ingredient,PEACH
vanilla whey protein powder,,,no_match,NO_MATCH
scoop Orange sherbet,"4,30","1599,0",typology,ICE CREAM
lager,"0,69",155,ingredient,BEER*
instant iced tea,,,no_match,NO_MATCH
raspberry-kiwi fruit juice,"2,86",1019,ingredient,KIWI JUICE (I)
malt liquor,"0,57",1950,ingredient,MALT
leaves spearmint,"0,84","8280,0",typology,SPICIES
leaf spearmint,"1,865","336,0",typology,VEGETABLES
diet 7-Up,,,no_match,NO_MATCH
sugar-free strawberry gelatin,"0,61",413,ingredient,STRAWBERRY
mashed strawberries,"0,61",413,ingredient,STRAWBERRY
vitamin,,,no_match,NO_MATCH
medium frozen ripe peach,"0,39",910,ingredient,PEACH
nectarines,"2,15","748,0",typology,FRUIT
natural jam,,,no_match,NO_MATCH
passion fruit nectar,"2,86",675,ingredient,GRAPEFRUIT JUICE
tea mix,,,no_match,NO_MATCH
blueberry pancake mix,,,no_match,NO_MATCH
ready-made pie crust,,,no_match,NO_MATCH
ice wine,"0,66","524,0",typology,WINE
brut rose sparkling wine,"0,66","524,0",typology,WINE
low sodium diced tomato,"1,48","806,6",typology,VEGETABLES CANNED
low sodium bouillon cube,,,no_match,NO_MATCH
guinness,"0,69",155,ingredient,BEER*
bavarian raspberry beer,"0,69",155,ingredient,BEER*
pepper berry,"0,65",379,ingredient,PEPPER
candied mint leaf,"1,99","2158,0",typology,SWEETS
dinner roll,"0,86",667,ingredient,BREAD
bitter lemon soda,"0,34",642,ingredient,LEMON
clementine juice,"0,46",1019,ingredient,ORANGE JUICE
black rice,"2,19",1597,ingredient,RICE*
dried banana chip,"0,34",748,ingredient,BANANA
Dubonnet red,,,no_match,NO_MATCH
apple-raspberry juice concentrate,"2,86",1140,ingredient,APPLE JUICE (I)
cold apple cider,"2,86",1140,ingredient,APPLE JUICE (I)
red curry,"0,84","8280,0",typology,SPICIES
stem fresh basil,"2,72","2174,0",typology,PESTO
dash red food coloring,,,no_match,NO_MATCH
pitu cachaca,,,no_match,NO_MATCH
sprig rosemary,"0,84","8280,0",typology,SPICIES
carrot salad blend,"1,48","806,6",ingredient,CARROTS CANNED
tropical fruit salad,"1,07",748,ingredient,EXOTIC FRUIT (I)
zesty Italian dressing,,,no_match,NO_MATCH
cold freshly brewed decaffinated tea,,,no_match,NO_MATCH
lemon wedges,"0,34",642,ingredient,LEMON
blackberry sherbet,"0,64",413,ingredient,BLACKBERRY
gingerbread-flavored syrup,,,no_match,NO_MATCH
tamarillo,"2,15","748,0",typology,FRUIT
arm roast,,,no_match,NO_MATCH
raw Spanish peanut,"0,83",2782,ingredient,PEANUT
prickly pear cactus,"0,27",922,ingredient,PEAR
kool-aid,,,no_match,NO_MATCH
chokecherry,,,no_match,NO_MATCH
bottle rum,,,no_match,NO_MATCH
red sloe gin,,,no_match,NO_MATCH
small tea bag,,,no_match,NO_MATCH
carbonated beverage,,,no_match,NO_MATCH
citrus slice,"2,15","748,0",typology,FRUIT
balsamic vinaigrette dressing,"1,46","572,0",typology,DRESSING
beef tail,,,no_match,NO_MATCH
grand marnier custard,,,no_match,NO_MATCH
pork rib patty,"3,44",5798,ingredient,PORK CUTS WITH BONE
sub roll,"0,86",667,ingredient,BREAD
chai tea mix,,,no_match,NO_MATCH
nut milk,"0,54",2030,ingredient,ALMOND MILK
frozen concentrated orange juice,"0,46",1019,ingredient,ORANGE JUICE
bison,"78,80",,ingredient,BUFFALO BONE FREE MEAT*
lemon cucumber,"0,27",353,ingredient,CUCUMBER
peapod,"0,45",1979,ingredient,PEA
crisps,,,no_match,NO_MATCH
raspberry vinaigrette,,,no_match,NO_MATCH
cold ginger ale,"0,84",1657,ingredient,GINGER
graham cracker sticks,"0,98","1258,0",typology,CRACKERS
splenda sugar substitute,,,no_match,NO_MATCH
peach soda,"0,39",910,ingredient,PEACH
ginger cube,"0,84",1657,ingredient,GINGER
mint ice cube,"0,84",288,ingredient,PEPPERMINT
tahitian coconut vanilla rum,,,no_match,NO_MATCH
chopped strawberries,"0,61",413,ingredient,STRAWBERRY
bottle dry red wine,"0,87",524,ingredient,WINE RED
liter red wine,"0,87",524,ingredient,WINE RED
red date,"0,81","2636,5",ingredient,DATE
mango tea bag,,,no_match,NO_MATCH
crenshaw melon,"0,61","1506,5",ingredient,MELON
casaba melon,"0,61","1506,5",ingredient,MELON
lemon strip,"0,34",642,ingredient,LEMON
red Anjou pear,"0,27",922,ingredient,PEAR
hibiscus,,,no_match,NO_MATCH
fresh hot coffee,"0,55","960,0",typology,COFFEE LIQUID
seville orange,"0,30",654,ingredient,ORANGE
cranberry Jello gelatin,"0,64",276,ingredient,CRANBERRY
whole sweetened cranberries,"0,64",276,ingredient,CRANBERRY
peeled and chopped yellow onion,"0,22",290,ingredient,ONION
extra lime slice,"0,34",642,ingredient,LIME
sprig peppermint,"0,84",288,ingredient,PEPPERMINT
chilled sparkling water,"0,49",,ingredient,MINERAL WATER*
raspberry tea,,,no_match,NO_MATCH
lemon iced tea,"0,34",642,ingredient,LEMON
hemp protein powder,"2,27","1724,5",typology,VEGETAL PROTEINS
kirby cucumber,"0,27",353,ingredient,CUCUMBER
sprig parsley,"0,84",8280,ingredient,CORIANDER
arrow starch,"0,27","1523,0",typology,STARCHY TUBER
channa dal,,,no_match,NO_MATCH
package dry pectin,,,no_match,NO_MATCH
Fiber One cereal,"2,64","2196,5",typology,BREAKFAST CEREALS
bell pepper flake,"0,84","8280,0",typology,SPICIES
oat milk,"0,54",2030,ingredient,ALMOND MILK
pure california chili powder,"0,84","8280,0",typology,SPICIES
breadstick dough,"0,86","901,8",typology,BREAD
prepared baked pie shell,,,no_match,NO_MATCH
hiram walker sour apple liqueur,,,no_match,NO_MATCH
fresh grated lemon,"0,34",642,ingredient,LEMON
apple jack,"0,25",622,ingredient,APPLE
raspberry-lemonade,"0,64",413,ingredient,RASPBERRY
seafood salad,"5,19","2313,5",typology,FISH
garlic and herb marinade,"0,25",589,ingredient,GARLIC
fat free sodium free chicken broth,"3,88","4325,0",typology,POULTRY BONE FREE MEAT
melon seeds,"0,88","3087,5",typology,SEEDS
clover,,,no_match,NO_MATCH
everclear,,,no_match,NO_MATCH
sprig mint,"0,84",288,ingredient,PEPPERMINT
lipton red tea bags,,,no_match,NO_MATCH
rooibos,"0,32","1506,5",ingredient,CARROB
rolled wheat flake,"0,57","1618,0",typology,GRAINS
red-hot candies,"0,84",288,ingredient,PEPPERMINT
Spanish peanuts,"0,83",2782,ingredient,PEANUT
dried celery flake,"0,33","362,0",ingredient,CELERY
hibiscus tea bag,,,no_match,NO_MATCH
packet cheese,"8,93",5253,ingredient,CHEESE
handful of cheese,"8,93",5253,ingredient,CHEESE
skim-milk flavoured yogurt,"2,85",1540,ingredient,YOGURT FLAVOURED**
dandelion flower,,,no_match,NO_MATCH
wine yeast,,,no_match,NO_MATCH
caramel apple dip,,,no_match,NO_MATCH
green sweet pepper,"1,865","336,0",typology,VEGETABLES
cheyene chili pepper,"0,84","8280,0",typology,SPICIES
bermuda onion,"0,22",290,ingredient,ONION
medium button mushroom,"2,06",,ingredient,MUSHROOM*
dekuyper pucker raspberry Schnapps,"1,18",748,ingredient,RASPBERRIES (F)*
lemon soda,"0,34",642,ingredient,LEMON
hot espresso,"0,55",960,ingredient,ESPRESSO (L)
hot steamed milk,"1,44","1599,0",typology,ANIMAL MILK
hazelnut powder,"1,11",11264,ingredient,HAZELNUT
vegetable seasoning,,,no_match,NO_MATCH
neufchafel cheese,"8,93",5253,ingredient,CHEESE
dried lavender blossom,,,no_match,NO_MATCH
reduced-fat milk,"1,44","1599,0",typology,ANIMAL MILK
large grated carrot,"0,24",195,ingredient,CARROT
small celery,"0,33","362,0",ingredient,CELERY
package noodle,"1,21",1508,ingredient,PASTA*
labneh,,,no_match,NO_MATCH
unsweetened instant tea,,,no_match,NO_MATCH
cherry drink mix,"0,46","1506,5",ingredient,CHERRY
container fat-free whipped topping,"4,30","1599,0",typology,ICE CREAM
italian sausage,"5,99",6177,ingredient,SAUSAGES
blackberry wine,"0,64",413,ingredient,BLACKBERRY
black sesame,"0,88",2188,ingredient,POPPY SEED
mettwurst,"5,99",6177,ingredient,SAUSAGES
lavender blossom,,,no_match,NO_MATCH
handful,,,no_match,NO_MATCH
fingerhot chili pepper,"0,84","8280,0",typology,SPICIES
pie crust mix,,,no_match,NO_MATCH
epsom salt,,,no_match,NO_MATCH
whole cloves,"0,84","8280,0",typology,SPICIES
package peach Jell-O,"0,39",910,ingredient,PEACH
dried orange peel,"0,30",654,ingredient,ORANGE
toasted cashew nut,"1,38",11264,ingredient,CASHEW NUT
black currant liqueur,"0,64",499,ingredient,CURRANT
currant syrup,"0,64",499,ingredient,CURRANT
dash ground cinnamon,"0,84",15526,ingredient,CINNAMON
white malt vinegar,,,no_match,NO_MATCH
ground mixed spice,"0,84","8280,0",typology,SPICIES
frozen raspberry concentrate,"1,18",748,ingredient,RASPBERRIES (F)*
powdered fruit pectin,,,no_match,NO_MATCH
ripe papaya,"0,32",460,ingredient,PAPAYA
onion dip mix,"0,22",290,ingredient,ONION
garlic and herb seasoning,"0,84",2265,ingredient,GARLIC POWDER
medium bosc pear,"0,27",922,ingredient,PEAR
carrot puree,"0,24",195,ingredient,CARROT
sugar-free instant butterscotch pudding,,,no_match,NO_MATCH
fat-free sugar-free instant chocolate pudding,"3,16","20717,0",typology,CHOCOLATE
ultra Cool Whip Lite,,,no_match,NO_MATCH
drained mangoes,"0,31",1855,ingredient,MANGO
reduced fat margarine,"1,39",1324,ingredient,MARGARINE*
asafoetida,"0,84","8280,0",typology,SPICIES
Egg,"3,20",3270,ingredient,EGG YOLKS
focaccia roll,"0,86",667,ingredient,BREAD
linseed,"0,88",5168,ingredient,LINSEED
garlic-flavored non-stick spray,,,no_match,NO_MATCH
blueberry syrup,"0,78",845,ingredient,BLUEBERRY
bamboo stick,,,no_match,NO_MATCH
tuaca liqueur,,,no_match,NO_MATCH
quick-rising yeast,,,no_match,NO_MATCH
rooibos tea,,,no_match,NO_MATCH
kirsch liqueur,"0,32",1411,ingredient,CHERRY SOUR
whole black cardamom pod,"0,84",34319,ingredient,CARDAMOM
peppermint tea,"0,84",288,ingredient,PEPPERMINT
vanilla soymilk,"0,78",2030,ingredient,SOY MILK
darjeeling tea leaf,,,no_match,NO_MATCH
beef t-bone steak,"17,96",10943,ingredient,BEEF MEAT WITH BONE*
cane syrup,"0,78","1294,5",typology,SUGAR
sassafras,,,no_match,NO_MATCH
rooibos tea leaf,,,no_match,NO_MATCH
half and half milk,"1,44","1599,0",typology,ANIMAL MILK
inch cinnamon stick,,,no_match,NO_MATCH
Stolichnaya raspberry vodka,,,no_match,NO_MATCH
pork side rib,"3,44",5798,ingredient,PORK CUTS WITH BONE
large celery rib,"0,33","362,0",ingredient,CELERY
large fresh garlic clove,"0,25",589,ingredient,GARLIC
