ingredient,cfp,wfp,mapping_type,mapped_item
peanut,"0,83",2782,ingredient,PEANUT
allspice,"0,84",61205,ingredient,CLOVE
mint,"0,84",288,ingredient,PEPPERMINT
asparagus,"0,83",2150,ingredient,ASPARAGUS
cabbage,"0,31",285,ingredient,CAULIFLOWER
squash,"0,33",336,ingredient,SQUASH
sweet potato,"0,27",383,ingredient,SWEET POTATO
rum,,,no_match,NO_MATCH
macaroni,,,no_match,NO_MATCH
parmesan,"9,59",5060,ingredient,CHEESE GRATED
cardamom,"0,84",34319,ingredient,CARDAMOM
rosemary,,,no_match,NO_MATCH
scallion,,,no_match,NO_MATCH
cocoa powder,"3,16",15618,ingredient,COCOA POWDER
raspberry,"0,64",413,ingredient,RASPBERRY
leaf,"1,865","336,0",typology,VEGETABLES
oatmeal,"0,87",2536,ingredient,OAT MEAL
ice,,,no_match,NO_MATCH
turkey,"3,88",4325,ingredient,TURKEY BONE FREE MEAT
dill,"0,34",642,ingredient,LEMON
salmon,"3,37",2193,ingredient,SALMON
cayenne pepper,"0,65",379,ingredient,PEPPER
sage,"0,84","8280,0",typology,SPICIES
cauliflower,"0,31",285,ingredient,CAULIFLOWER
sesame oil,"2,11",7529,ingredient,PEANUT OIL
eggplant,"0,19",362,ingredient,EGGPLANT
apricot,"0,30",1287,ingredient,APRICOT
tortilla,,,no_match,NO_MATCH
jalapeno,"0,65",379,ingredient,PEPPER
pork,"3,44",4361,ingredient,PORK MEAT WITH BONE*
all-purpose flour,"0,87",1849,ingredient,WHEAT FLOUR
dressing,"1,46","572,0",typology,DRESSING
spaghetti,"1,21",1508,ingredient,PASTA*
chicken broth,,,no_match,NO_MATCH
half-and-half,,,no_match,NO_MATCH
chicken stock,"2,82",3330,ingredient,CHICKEN MEAT WITH BONE
mozzarella cheese,"8,20",5253,ingredient,MOZZARELLA
tomato paste,"1,30",855,ingredient,TOMATO PASTE
pear,"0,27",922,ingredient,PEAR
mango,"0,31",1855,ingredient,MANGO
gingerroot,"0,84",1657,ingredient,GINGER
chive,"0,84","8280,0",typology,SPICIES
flake,"2,64",1977,ingredient,BARLEY FLAKES
bay leaf,,,no_match,NO_MATCH
cottage cheese,"8,93",5253,ingredient,CHEESE
vegetable,"0,54","362,0",ingredient,VEGETABLES
cherry,"0,46","1506,5",ingredient,CHERRY
cayenne,"0,84","8280,0",typology,SPICIES
gelatin,,,no_match,NO_MATCH
ice cream,"4,30",,ingredient,ICE CREAM
chips,,,no_match,NO_MATCH
mozzarella,"8,20",5253,ingredient,MOZZARELLA
date,"0,81","2636,5",ingredient,DATE
almond extract,"1,88",11264,ingredient,ALMOND
beans,"2,26",801,ingredient,BEANS (F)
whipping cream,"5,45",3838,ingredient,CREAM
tofu,"2,27",1724,ingredient,TOFU
lentil,"0,52",5874,ingredient,LENTIL
Worcestershire sauce,"1,46",613,ingredient,SOY SAUCE
crust,"1,35","1423,3",typology,CRISPBREAD
green pepper,"1,865","336,0",typology,VEGETABLES
beer,"0,69",155,ingredient,BEER*
salsa,,,no_match,NO_MATCH
turmeric,"0,84","8280,0",typology,SPICIES
red pepper,"0,65",379,ingredient,PEPPER
feta cheese,"9,59",5253,ingredient,GOAT CHEESE
cinnamon stick,"0,84",15526,ingredient,CINNAMON
onion powder,"0,22",290,ingredient,ONION
pudding,"1,99","2158,0",typology,SWEETS
white sugar,"0,78","1294,5",typology,SUGAR
cornmeal,"0,87","1889,5",ingredient,MAIZE FLOUR
artichoke,"0,33",818,ingredient,ARTICHOKE
heavy cream,"5,45",3838,ingredient,CREAM
horseradish,"0,88",2809,ingredient,MUSTARD SEED
chickpea,"0,52",4177,ingredient,CHICKPEA
sesame seed,"0,88",2188,ingredient,POPPY SEED
evaporated milk,"1,44","1599,0",typology,ANIMAL MILK
coconut milk,"0,54",2030,ingredient,COCONUT MILK
grape,"0,31",608,ingredient,GRAPES
white,"1,69",1540,ingredient,YOGURT WHITE
tomato sauce,"1,19","151,3",typology,TOMATO SAUCE
ground cinnamon,"0,84",15526,ingredient,CINNAMON
liqueur,"0,32",1411,ingredient,CHERRY SOUR
steak,"17,96",10943,ingredient,BEEF MEAT WITH BONE*
granulated sugar,"0,94",865,ingredient,BEET SUGAR
large egg,"3,20",2562,ingredient,EGGS*
green bean,"0,52","555,5",ingredient,GREEN BEAN (fresh)
jam,,,no_match,NO_MATCH
curry powder,"0,84","8280,0",typology,SPICIES
