ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes;;;
mincemeat;;;no_match;NO_MATCH;;;;;
grape tomato;0,45;41;ingredient;TOMATO;;;;;
stalk celery;0,33;362;ingredient;CELERY;;;;;
corn flakes;2,64;2196,5;ingredient;CORNFLAKES*;;;;;
soy flour;1,32;2523;ingredient;SOYBEAN FLOUR;;;;;
green olive;0,64;3015;ingredient;OLIVES;;;;;
almond meal;1,88;11264;ingredient;ALMOND;;;;;
Frangelico;;;no_match;NO_MATCH;;;;;
almond flour;;;no_match;NO_MATCH;;;;;
mini marshmallow;;;no_match;NO_MATCH;;;;;
pizza sauce;1,3;855;ingredient;TOMATO PASTE;;;;;
cookie mix;1,39;1723;ingredient;SIMPLE COOKIES**;;;;;
gouda cheese;8,93;5253;ingredient;CHEESE;;;;;
bacon drippings;5,99;6116;ingredient;BACON;;;;;
cottage;;;no_match;NO_MATCH;;;;;
lean ground beef;;;no_match;NO_MATCH;;;;;
orange liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;;;
white onion;0,22;290;ingredient;ONION;;;;;
port;0,66;524;typology;WINE;;;;;
black-eyed pea;0,45;1979;ingredient;PEA;;;;;
hearts;;;no_match;NO_MATCH;;;;;
Tabasco;6,7;;ingredient;Tabasco Pepper Sauce;https://apps.carboncloud.com/climatehub/product-reports/011210135871/SWE;;;;
lemon cake mix;0,34;642;ingredient;LEMON;;;;;
whole egg;3,2;2562;ingredient;EGGS*;;;;;
chocolate ice cream;4,3;1599;typology;ICE CREAM;;;;;
graham cracker crumbs;0,98;1258;typology;CRACKERS;;;;;
pizza crust;0,86;667;ingredient;BREAD;;;;;
lasagna noodle;1,21;1508;ingredient;PASTA*;;;;;
orange blossom water;;;no_match;NO_MATCH;;;;;
Sprite;;;no_match;NO_MATCH;;;;;
dripping;;;no_match;NO_MATCH;;;;;
mango chutney;;;no_match;NO_MATCH;;;;;
stevia;;;no_match;NO_MATCH;;;;;
fresh orange juice;0,46;1019;ingredient;ORANGE JUICE;;;;;
cilantro leaf;0,84;8280;ingredient;CORIANDER;;;;;
red chili;0,84;8280;typology;SPICIES;;;;;
rotel;;;no_match;NO_MATCH;;;;;
sourdough starter;0,86;901,8;typology;BREAD;;;;;
cherries;0,46;1506,5;ingredient;CHERRY;;;;;
consomme;;;no_match;NO_MATCH;;;;;
rutabaga;;;no_match;NO_MATCH;;;;;
panko;;;no_match;NO_MATCH;;;;;
escarole;;;no_match;NO_MATCH;;;;;
elbow macaroni;;;no_match;NO_MATCH;;;;;
dried sage;;;no_match;NO_MATCH;;;;;
Roquefort cheese;8,93;5253;ingredient;CHEESE;;;;;
shredded mozzarella cheese;8,2;5253;ingredient;MOZZARELLA;;;;;
corned beef;;;no_match;NO_MATCH;;;;;
salad dressing;1,46;572;typology;DRESSING;;;;;
sec;;;no_match;NO_MATCH;;;;;
root beer;2,06;;ingredient;ROOT BEER CAFFEINE FREE SODA, ROOT BEER;https://apps.carboncloud.com/climatehub/product-reports/041190757732/USA;;;;
baby carrot;0,24;195;ingredient;CARROT;;;;;
Cheerio;2,64;2196,5;typology;BREAKFAST CEREALS;;;;;
flax seed meal;0,57;2133;typology;PROCESSED GRAINS (grouts, malt);;;;;
white rice;2,19;1597;ingredient;RICE*;;;;;
wrap;;;no_match;NO_MATCH;;;;;
kaffir lime leaf;2,15;748;typology;FRUIT;;;;;
hen;2,13;3330,3;typology;POULTRY MEAT WITH BONE;;;;;
five-spice powder;0,84;8280;typology;SPICIES;;;;;
currants;0,64;499;ingredient;CURRANT;;;;;
sweetened flaked coconut;1,07;1971;ingredient;COCONUT (I);;;;;
marinara sauce;1,3;855;ingredient;TOMATO PASTE;;;;;
walnut oil;2,11;6792;typology;OIL;;;;;
sour milk;2,55;1540;typology;YOGURT;;;;;
buckwheat flour;0,87;1889,5;ingredient;BUCKWHEAT FLOUR;;;;;
clam juice;5,67;1856;typology;SHELLFISH;;;;;
self raising flour;0,57;2133;typology;PROCESSED GRAINS (grouts, malt);;;;;
lime slice;0,34;642;ingredient;LIME;;;;;
marinade;;;no_match;NO_MATCH;;;;;
ginger powder;0,84;1657;ingredient;GINGER;;;;;
grated orange zest;0,46;1019;ingredient;ORANGE JUICE;;;;;
pork rib;3,44;5798;ingredient;PORK CUTS WITH BONE;;;;;
sherry wine vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
celery leaf;0,33;362;ingredient;CELERY;;;;;
dark soy sauce;1,46;613;ingredient;SOY SAUCE;;;;;
pierogi;;;no_match;NO_MATCH;;;;;
orzo pasta;1,21;1508;ingredient;PASTA*;;;;;
poppy seeds;0,88;2188;ingredient;POPPY SEED;;;;;
ramen noodle;;;no_match;NO_MATCH;;;;;
red kidney bean;0,43;5053;ingredient;BEAN;;;;;
corn muffin mix;0,87;1889,5;ingredient;MAIZE FLOUR;;;;;
maple extract;;;no_match;NO_MATCH;;;;;
vegetable shortening;;;no_match;NO_MATCH;;;;;
grated cheddar cheese;9,59;5060;ingredient;CHEESE GRATED;;;;;
saffron thread;0,84;731000;ingredient;SAFFRON;;;;;
poundcake;1,99;2158;typology;SWEETS;;;;;
amaretto;;;no_match;NO_MATCH;;;;;
blueberry pie filling;0,78;845;ingredient;BLUEBERRY;;;;;
guava;0,32;1800;ingredient;GUAVA;;;;;
hummus;;;no_match;NO_MATCH;;;;;
sardine;0,9;2313,5;ingredient;SARDINE;;;;;
yellow mustard;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;;;
dried cranberries;0,64;276;ingredient;CRANBERRY;;;;;
instant yeast;3,29;;ingredient;YEAST DRIED*;;;;;
gravy mix;;;no_match;NO_MATCH;;;;;
cashew nut;1,38;11264;ingredient;CASHEW NUT;;;;;
thigh;;;no_match;NO_MATCH;;;;;
unbleached flour;0,87;1889,5;typology;GRAIN FLOUR;;;;;
double cream;5,45;3838;ingredient;CREAM;;;;;
gherkin;0,21;362;ingredient;GERKIN;;;;;
dried fruit;0,81;2636,5;typology;DRIED FRUIT;;;;;
pea pod;0,45;1979;ingredient;PEA;;;;;
ground round;;;no_match;NO_MATCH;;;;;
chopped parsley;1,18;336;typology;VEGETABLES;;;;;
ring;;;no_match;NO_MATCH;;;;;
croutons;0,98;1258;typology;CRACKERS;;;;;
almond butter;1,84;;ingredient;ALMOND PASTE;;;;;
romano;9,59;5253;ingredient;PECORINO;;;;;
Cointreau;;;no_match;NO_MATCH;;;;;
grapes;0,31;608;ingredient;GRAPES;;;;;
quick-cooking oats;2,64;2196,5;typology;BREAKFAST CEREALS;;;;;
foil;;;no_match;NO_MATCH;;;;;
baby spinach;0,34;292;ingredient;SPINACH;;;;;
nori;;;no_match;NO_MATCH;;;;;
grated carrot;0,24;195;ingredient;CARROT;;;;;
ham hock;3,44;5677;ingredient;FRESH HAM WITH BONE;;;;;
bay;;;no_match;NO_MATCH;;;;;
catfish;5,19;2313,5;ingredient;CATFISH;;;;;
seasoning mix;0,84;8280;typology;SPICIES;;;;;
bread cube;0,86;667;ingredient;BREAD;;;;;
anchovy paste;0,82;2313,5;ingredient;ANCHOVY;;;;;
sunflower seeds;0,88;3366;ingredient;SUNFLOWER SEED;;;;;
oat flour;0,87;1889,5;typology;GRAIN FLOUR;;;;;
tamari soy sauce;1,46;613;ingredient;SOY SAUCE;;;;;
baked bean;0,43;5053;ingredient;BEAN;;;;;
bamboo shoot;1,18;336;typology;VEGETABLES;;;;;
chili-garlic sauce;0,84;8280;typology;SPICIES;;;;;
corn flake crumb;2,64;2196,5;ingredient;CORNFLAKES*;;;;;
cracker crumb;1,35;1447;ingredient;PLAIN CRACKERS**;;;;;
chocolate kiss;4,3;;ingredient;CHOCOLATE;;;;;
unsweetened cocoa;3,16;15618;ingredient;COCOA POWDER;;;;;
chocolate square;4,3;;ingredient;CHOCOLATE;;;;;
butterscotch chips;;;no_match;NO_MATCH;;;;;
apricot nectar;0,3;1287;ingredient;APRICOT;;;;;
onion flakes;0,22;290;ingredient;ONION;;;;;
apple pie spice;0,84;8280;typology;SPICIES;;;;;
template2;;;no_match;NO_MATCH;;;;;
maraschino cherry juice;0,32;1411;ingredient;CHERRY SOUR;;;;;
sugar snap pea;0,52;595;ingredient;PEA (fresh);;;;;
spearmint;0,84;288;ingredient;PEPPERMINT;;;;;
protein powder;5,8;;ingredient;Whey protein, 80% protein;https://apps.carboncloud.com/climatehub/product-reports/id/5275940505;;;;
kirsch;;;no_match;NO_MATCH;;;;;
duck;2,13;3330,3;ingredient;DUCK MEAT WITH BONE*;;;;;
dill seed;0,88;3087,5;typology;SEEDS;;;;;
cardamom seed;0,88;9371;ingredient;SESAM SEED;;;;;
swiss chard;;;no_match;NO_MATCH;;;;;
bananas;0,34;748;ingredient;BANANA;;;;;
grapeseed oil;1,79;4301;ingredient;RAPESEED OIL;;;;;
Greek yogurt;2,55;1540;typology;YOGURT;;;;;
flat leaf parsley;0,84;8280;ingredient;CORIANDER;;;;;
fava bean;0,52;2018;ingredient;FABA BEAN;;;;;
canola;;;no_match;NO_MATCH;;;;;
black beans;0,43;5053;ingredient;BEAN;;;;;
parmigiano;9,59;5253;ingredient;PARMIGIANO REGGIANO;;;;;
cod fish;2,12;2313,5;ingredient;COD FISH STICK;;;;;
hazelnuts;1,11;11264;ingredient;HAZELNUT;;;;;
sifted powdered sugar;0,78;1294,5;typology;SUGAR;;;;;
xanthan gum;;;no_match;NO_MATCH;;;;;
shavings;;;no_match;NO_MATCH;;;;;
bacon bits;5,99;6116;ingredient;BACON;;;;;
honeydew;;;no_match;NO_MATCH;;;;;
peppermint;0,84;288;ingredient;PEPPERMINT;;;;;
serrano pepper;0,84;8280;typology;SPICIES;;;;;
turkey breast;3,88;4325;typology;POULTRY BONE FREE MEAT;;;;;
lime leaf;;;no_match;NO_MATCH;;;;;
angel hair pasta;1,21;1508;ingredient;PASTA*;;;;;
oranges;0,3;654;ingredient;ORANGE;;;;;
cold milk;1,44;1599;typology;ANIMAL MILK;;;;;
tenderloin;;;no_match;NO_MATCH;;;;;
matzo;0,86;901,8;typology;BREAD;;;;;
beef tenderloin;;;no_match;NO_MATCH;;;;;
pork loin roast;3,44;5798;ingredient;PORK CUTS WITH BONE;;;;;
chili oil;0,84;8280;typology;SPICIES;;;;;
pistachio nut;1,6;11363;ingredient;PISTACHIO;;;;;
pomegranate molasses;0,32;1506,5;ingredient;POMEGRANATE;;;;;
soybean;0,56;4615;ingredient;SOYBEAN;;;;;
harissa;0,84;8280;typology;SPICIES;;;;;
yellow cornmeal;0,87;1889,5;ingredient;MAIZE FLOUR;;;;;
rice noodle;;;no_match;NO_MATCH;;;;;
pepperoncini;0,65;379;ingredient;PEPPER;;;;;
ground turkey;3,88;4325;typology;POULTRY BONE FREE MEAT;;;;;
base;;;no_match;NO_MATCH;;;;;
dressing mix;1,46;572;typology;DRESSING;;;;;
crawfish;7,04;1856;ingredient;PRAWNS/SHRIMPS;;;;;
Oreo cookie;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;;;
grated cheese;9,59;5060;ingredient;CHEESE GRATED;;;;;
grease;2,11;6792;typology;OIL;;;;;
lemon Jell-O;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;;;
rye;0,57;1554;ingredient;RYE;;;;;
white rum;4,63;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Chairmans Reserve Rum used as proxy for every rum;;;
concentrate;;;no_match;NO_MATCH;;;;;
light rum;4,63;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Chairmans Reserve Rum used as proxy for every rum;;;
endive;;;no_match;NO_MATCH;;;;;
nonfat milk;1,44;1599;typology;ANIMAL MILK;;;;;
white bread flour;0,52;1889,5;ingredient;WHEAT PLAIN FLOUR;;;;;
daikon radish;0,25;272;ingredient;RADISH;;;;;
gingersnap cookie;1,47;1870,3;typology;BISCUITS;;;;;
hominy;;;no_match;NO_MATCH;;;;;
chipotle chile;0,65;379;ingredient;PEPPER;;;;;
wheat berry;0,57;1639;ingredient;WHEAT;;;;;
sheet;;;no_match;NO_MATCH;;;;;
salted peanut;0,83;2782;ingredient;PEANUT;;;;;
curd;2,55;1540;typology;YOGURT;;;;;
corn tortilla;;;no_match;NO_MATCH;;;;;
crispy rice cereal;2,64;2196,5;typology;BREAKFAST CEREALS;;;;;
butter bean;0,43;5053;ingredient;BEAN;;;;;
apple juice concentrate;2,86;1140;ingredient;APPLE JUICE (I);;;;;
salt & pepper;0,65;379;ingredient;PEPPER;;;;;
pie filling;;;no_match;NO_MATCH;;;;;
shaving;;;no_match;NO_MATCH;;;;;
curl;;;no_match;NO_MATCH;;;;;
Fontina cheese;8,93;5253;ingredient;CHEESE;;;;;
cookie crumb;1,47;1870,3;typology;BISCUITS;;;;;
swiss;8,93;5253;ingredient;CHEESE;;;;;
no-boil lasagna noodle;3,15;4637;ingredient;EGG PASTA*;;;;;
rice milk;0,54;2030;ingredient;RICE MILK;;;;;
steamed milk;1,31;1260,5;ingredient;COW MILK;;;;;
grape juice;2,86;1019;typology;FRUIT JUICE;;;;;
rocket;;;no_match;NO_MATCH;;;;;
cherry Jell-O;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;;;
drippings;;;no_match;NO_MATCH;;;;;
stew meat;;;no_match;NO_MATCH;;;;;
desiccated coconut;1,07;1971;ingredient;COCONUT (I);;;;;
white bread;0,86;667;ingredient;BREAD;;;;;
green food coloring;;;no_match;NO_MATCH;;;;;
Spam;;;no_match;NO_MATCH;;;;;
orange bell pepper;0,65;379;ingredient;PEPPER;;;;;
chickpeas;0,52;4177;ingredient;CHICKPEA;;;;;
bicarbonate;;;no_match;NO_MATCH;;;;;
lemon pepper seasoning;0,84;8280;typology;SPICIES;;;;;
raspberry preserves;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;;;
russet potato;0,24;555;ingredient;POTATO;;;;;
button mushroom;2,06;;ingredient;MUSHROOM*;;;;;
Ritz cracker;1,35;1447;ingredient;PLAIN CRACKERS**;;;;;
asparagus spear;0,83;2150;ingredient;ASPARAGUS;;;;;
fresh spinach;0,34;292;ingredient;SPINACH;;;;;
bark;;;no_match;NO_MATCH;;;;;
pork and beans;4,03;;ingredient;PORK AND BEEF CHILI WITH BEANS;https://apps.carboncloud.com/climatehub/product-reports/041196474725/USA;;;;
chopped green onion;0,22;290;ingredient;ONION;;;;;
chocolate cake mix;3,16;20717;typology;CHOCOLATE;;;;;
chow mein noodle;;;no_match;NO_MATCH;;;;;
vanilla wafer;1,47;1870,3;typology;BISCUITS;;;;;
self-raising flour;;;no_match;NO_MATCH;;;;;
bacon fat;5,99;6116;ingredient;BACON;;;;;
rice krispies;2,64;2196,5;typology;BREAKFAST CEREALS;;;;;
grated lemon;0,34;642;ingredient;LEMON;;;;;
tater;0,24;555;ingredient;POTATO;;;;;
shredded cheese;9,59;5060;ingredient;CHEESE GRATED;;;;;
crunchy peanut butter;1,84;;ingredient;PEANUT BUTTER;;;;;
pecorino romano cheese;9,59;5253;ingredient;PECORINO;;;;;
clementine;0,34;748;ingredient;CLEMENTINE;;;;;
fresh cilantro;0,84;8280;ingredient;CORIANDER;;;;;
berries;0,64;413;ingredient;RASPBERRY;;;;;
radicchio;0,25;272;ingredient;RADISH;;;;;
pomegranate seed;0,32;1506,5;ingredient;POMEGRANATE;;;;;
sparkling water;0,49;;ingredient;MINERAL WATER*;;;;;
chicken tender;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;;;
hot pepper;0,84;8280;typology;SPICIES;;;;;
creme;5,45;3838;ingredient;CREAM;;;;;
bone;3,44;5677;ingredient;FRESH HAM WITH BONE;;;;;
stalk;;;no_match;NO_MATCH;;;;;
vital wheat gluten;0,57;4189;ingredient;WHEAT GLUTEN;;;;;
aubergine;0,19;362;ingredient;EGGPLANT;;;;;
hoisin;;;no_match;NO_MATCH;;;;;
dried onion;0,22;290;ingredient;ONION;;;;;
sprouts;0,33;285;ingredient;BRUSSEL SPROUT;;;;;
lemon curd;0,34;642;ingredient;LEMON;;;;;
ice water;0,49;;ingredient;MINERAL WATER*;;;;;
protein;5,8;;ingredient;Whey protein, 80% protein;https://apps.carboncloud.com/climatehub/product-reports/id/5275940505;;;;
chopped fresh parsley;1,18;336;typology;VEGETABLES;;;;;
monterey jack pepper cheese;9,59;5253;typology;CHEESE HARD & SEMI-HARD;;;;;
floret;;;no_match;NO_MATCH;;;;;
ground pork;;;no_match;NO_MATCH;;;;;
mushroom soup;;;no_match;NO_MATCH;;;;;
softened butter;8,48;5659;ingredient;BUTTER*;;;;;
turmeric powder;0,84;8280;typology;SPICIES;;;;;
potato flake;0,27;1044;ingredient;POTATO FLAKES;;;;;
icing;;;no_match;NO_MATCH;;;;;
kiss;4,3;;ingredient;CHOCOLATE;;;;;
cookies;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;;;
chocolate chunk;4,3;;ingredient;CHOCOLATE;;;;;
cream-style corn;;;no_match;NO_MATCH;;;;;
asiago;9,59;5253;ingredient;ASIAGO;;;;;
blood orange;0,3;654;ingredient;ORANGE;;;;;
frozen orange juice concentrate;0,46;1019;ingredient;ORANGE JUICE;;;;;
Splenda sugar substitute;;;no_match;NO_MATCH;;;;;
beef roast;25,75;15139;ingredient;BEEF BONE FREE MEAT*;;;;;
marsala wine;0,87;524;ingredient;WINE RED;;;;;
palm sugar;0,78;1294,5;typology;SUGAR;;;;;
split pea;0,45;1979;ingredient;PEA;;;;;
raspberry preserve;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;;;
toasted almond;1,88;11264;ingredient;ALMOND;;;;;
powdered ginger;0,84;1657;ingredient;GINGER;;;;;
rump roast;;;no_match;NO_MATCH;;;;;
banana liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used sa proxy for every liquer;;;
caramel topping;;;no_match;NO_MATCH;;;;;
fenugreek;1,18;336;typology;VEGETABLES;;;;;
turkey sausage;5,99;6177;ingredient;SAUSAGES;;;;;
Karo syrup;0,78;1294,5;typology;SUGAR;;;;;
canned tomato;1,48;806,6;typology;VEGETABLES CANNED;;;;;
anchovy fillet;0,82;2313,5;ingredient;ANCHOVY;;;;;
starter;0,86;901,8;typology;BREAD;;;;;
carrots;0,24;195;ingredient;CARROT;;;;;
chili flake;0,84;8280;typology;SPICIES;;;;;
tempeh;;;no_match;NO_MATCH;;;;;
parsley flakes;0,84;8280;typology;SPICIES;;;;;
minced onion;0,22;290;ingredient;ONION;;;;;
refried bean;0,43;5053;ingredient;BEAN;;;;;
tuna steak;3,68;2313,5;ingredient;TUNA;;;;;
granules;;;no_match;NO_MATCH;;;;;
chicken base;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;;;
graham cracker crust;0,98;1258;typology;CRACKERS;;;;;
crepe;2,14;1640;ingredient;CAKES AND CROISSANT**;;;;;
butter flavoring;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;;;
crushed tomatoes;1,47;713;ingredient;TOMATO CHOPPED;;;;;
fudge;3,16;20717;typology;CHOCOLATE;;;;;
peanut butter cup;1,84;;ingredient;PEANUT BUTTER;;;;;
apricot brandy;8,22;;ingredient;Brandy;https://livelca.com/products/brandy_30e6d270-02c0-4de2-8777-622ea7e107a7;Brandy used as proxy for every brandy;;;
pineapple tidbit;0,55;255;ingredient;PINEAPPLE (I);;;;;
tea leaf;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;;;
fresh raspberry;0,64;413;ingredient;RASPBERRY;;;;;
swede;0,25;272;ingredient;SWEDE;;;;;
tomatillo;;;no_match;NO_MATCH;;;;;
pumpkin pie filling;0,24;336;ingredient;PUMPKIN;;;;;
ripe banana;0,34;748;ingredient;BANANA;;;;;
strawberry Jell-O;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;;;
lamb chop;16,7;4362;ingredient;LAMB MEAT WITH BONE*;;;;;
mixed spice;0,84;8280;typology;SPICIES;;;;;
square;1,35;1447;ingredient;PLAIN CRACKERS**;;;;;
medium potato;0,24;555;ingredient;POTATO;;;;;
evaporated skim milk;1,44;1599;typology;ANIMAL MILK;;;;;
tomato ketchup;;;no_match;NO_MATCH;;;;;
green chili pepper;0,84;8280;typology;SPICIES;;;;;
swordfish;5,19;2313,5;typology;FISH;;;;;
caraway;;;no_match;NO_MATCH;;;;;
broccoli rabe;1,18;336;typology;VEGETABLES;;;;;
lamb shank;16,7;4362;ingredient;LAMB MEAT WITH BONE*;;;;;
tamarind paste;;;no_match;NO_MATCH;;;;;
maple flavoring;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;;;
vanilla chip;4,3;;ingredient;VANILLA;;;;;
chopped almond;1,88;11264;ingredient;ALMOND;;;;;
pine nuts;1,11;9063;ingredient;MIXED NUTS;;;;;
green pea;0,45;1979;ingredient;PEA;;;;;
chicken stock cube;;;no_match;NO_MATCH;;;;;
soya sauce;1,46;613;ingredient;SOY SAUCE;;;;;
coriander powder;0,84;8280;ingredient;CORIANDER;;;;;
white bean;0,43;5053;ingredient;BEAN;;;;;
alfredo sauce;;;no_match;NO_MATCH;;;;;
key lime juice;2,86;1019;typology;FRUIT JUICE;;;;;
shoot;;;no_match;NO_MATCH;;;;;
Coca-Cola;0,425;;ingredient;Soft Drink;https://livelca.com/products/soft-drink_a0892893-831f-4dd5-b4bf-a8977543b775;;;;
low-fat milk;1,44;1599;typology;ANIMAL MILK;;;;;
toffee piece;2,74;;ingredient;Toffees;https://livelca.com/products/toffees_b0dee6db-9d0d-46c2-bcf1-34eeabfbebc5;;;;
crisp rice cereal;2,64;2196,5;typology;BREAKFAST CEREALS;;;;;
Crisco shortening;;;no_match;NO_MATCH;;;;;
bacon slice;5,99;6116;ingredient;BACON;;;;;
Stilton cheese;8,93;5253;ingredient;CHEESE;;;;;
Southern Comfort;;;no_match;NO_MATCH;;;;;
quick oat;2,64;2416;ingredient;OAT FLAKES;;;;;
Midori;;;no_match;NO_MATCH;;;;;
fruit cocktail;2,15;748;typology;FRUIT;;;;;
fryer;;;no_match;NO_MATCH;;;;;
romaine;0,41;237;ingredient;LETTUCE;;;;;
chili pepper flakes;0,65;379;ingredient;PEPPER;;;;;
medium carrot;0,24;195;ingredient;CARROT;;;;;
raspberry vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
pineapple slice;0,55;255;ingredient;PINEAPPLE (I);;;;;
caramel sauce;;;no_match;NO_MATCH;;;;;
parsley flake;0,84;8280;typology;SPICIES;;;;;
banana pepper;0,65;379;ingredient;PEPPER;;;;;
beef short rib;17,96;10943;ingredient;BEEF MEAT WITH BONE*;;;;;
msg;;;no_match;NO_MATCH;;;;;
honey mustard;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;;;
calvados;;;no_match;NO_MATCH;;;;;
bouquet garni;;;no_match;NO_MATCH;;;;;
thyme leaf;;;no_match;NO_MATCH;;;;;
sweetcorn;0,48;1191;ingredient;MAIZE;;;;;
collard green;0,88;280;ingredient;BRASSICAS;;;;;
low sodium soy sauce;1,46;613;ingredient;SOY SAUCE;;;;;
minced garlic clove;0,25;589;ingredient;GARLIC;;;;;
raisin bread;0,86;901,8;typology;BREAD;;;;;
bulgur wheat;0,57;1639;ingredient;WHEAT;;;;;
large tomato;0,45;41;ingredient;TOMATO;;;;;
lavender;;;no_match;NO_MATCH;;;;;
green beans;0,52;555,5;ingredient;GREEN BEAN (fresh);;;;;
ditalini;;;no_match;NO_MATCH;;;;;
orecchiette;;;no_match;NO_MATCH;;;;;
nonfat dry milk powder;15,8;;ingredient;Whole milk powder, 95% DM;https://apps.carboncloud.com/climatehub/product-reports/id/170300964422;;;;
rotini;;;no_match;NO_MATCH;;;;;
navy bean;0,52;2018;ingredient;FABA BEAN;;;;;
dried rosemary;;;no_match;NO_MATCH;;;;;
packed light brown sugar;0,78;1294,5;typology;SUGAR;;;;;
hot coffee;0,55;960;typology;COFFEE LIQUID;;;;;
ciabatta;;;no_match;NO_MATCH;;;;;
grated lemon rind;0,34;642;ingredient;LEMON;;;;;
ground chicken;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;;;
grated fresh lemon rind;0,34;642;ingredient;LEMON;;;;;
poblano;;;no_match;NO_MATCH;;;;;
farina;0,87;1849;ingredient;WHEAT FLOUR;;;;;
bleu cheese salad dressing;;;no_match;NO_MATCH;;;;;
grated lemon zest;0,34;642;ingredient;LEMON;;;;;
smoked salmon;2,12;2313,5;typology;FISH PROCESSED;;;;;
English muffin;0,86;901,8;typology;BREAD;;;;;
coffee granule;0,55;960;ingredient;COFFEE SOLUBLE POWDER (L);;;;;
drumstick;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;;;
hash brown potato;0,24;555;ingredient;POTATO;;;;;
ziti pasta;1,21;1508;ingredient;PASTA*;;;;;
monterey jack;;;no_match;NO_MATCH;;;;;
agave nectar;0,78;1294,5;typology;SUGAR;;;;;
pepperoncini pepper;0,84;8280;typology;SPICIES;;;;;
glaze;;;no_match;NO_MATCH;;;;;
bottle;;;no_match;NO_MATCH;;;;;
mint sprig;0,84;288;ingredient;PEPPERMINT;;;;;
malt vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
crystallized ginger;0,84;1657;ingredient;GINGER;;;;;
soft brown sugar;0,78;1294,5;typology;SUGAR;;;;;
brisket;25,75;15139;ingredient;BEEF BONE FREE MEAT*;;;;;
slices;;;no_match;NO_MATCH;;;;;
mostaccioli;;;no_match;NO_MATCH;;;;;
chipotle pepper;0,65;379;ingredient;PEPPER;;;;;
hoagie roll;0,86;667;ingredient;BREAD;;;;;
raspberry Jell-O;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;;;
ginger paste;0,84;1657;ingredient;GINGER;;;;;
ground turmeric;0,84;8280;typology;SPICIES;;;;;
rye bread;0,57;1554;ingredient;RYE;;;;;
ground mace;0,84;34319;ingredient;MACE;;;;;
unbleached white flour;0,87;1849;ingredient;WHEAT FLOUR;;;;;
wing;2,13;3330,3;typology;POULTRY MEAT WITH BONE;;;;;
graham wafer crumb;0,98;1258;typology;CRACKERS;;;;;
chicken liver;3,88;4325;typology;POULTRY BONE FREE MEAT;;;;;
cannellini;1,48;806,6;typology;VEGETABLES CANNED;;;;;
whole tomato;0,45;41;ingredient;TOMATO;;;;;
pieces;;;no_match;NO_MATCH;;;;;
Rice Chex;2,19;1597;ingredient;RICE*;;;;;
cracked black pepper;0,65;379;ingredient;PEPPER;;;;;
