ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes;;;
crabmeat;7,04;1974;ingredient;CRUSTACEAN;;;;;
peanut oil;2,11;7529;ingredient;PEANUT OIL;;;;;
icing sugar;0,78;1294,5;typology;SUGAR;;;;;
unsalted butter;8,48;5659;ingredient;BUTTER*;;;;;
whole wheat flour;0,36;1889,5;ingredient;WHOLE WHEAT FLOUR;;;;;
chestnut;1,11;2750;ingredient;CHESTNUT;;;;;
brandy;8,22;;ingredient;Brandy;https://livelca.com/products/brandy_30e6d270-02c0-4de2-8777-622ea7e107a7;Brandy used as proxy for every brandy;;;
fish sauce;4,99;2313,5;ingredient;FISH MIXED;;;;;
raisins;0,81;2433;ingredient;RAISINS;;;;;
apple juice;2,86;1140;ingredient;APPLE JUICE (I);;;;;
white pepper;0,65;379;ingredient;PEPPER;;;;;
confectioners sugar;0,78;1294,5;typology;SUGAR;;;;;
soy;0,56;4615;ingredient;SOYBEAN;;;;;
pistachio;1,6;11363;ingredient;PISTACHIO;;;;;
red bell pepper;0,65;379;ingredient;PEPPER;;;;;
feta;8,93;5253;ingredient;CHEESE;;;;;
pepperoni;0,65;379;ingredient;PEPPER;;;;;
rice vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
dry mustard;0,84;8280;typology;SPICIES;;;;;
cream of tartar;;;no_match;NO_MATCH;;;;;
cookie;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;;;
sherry;0,66;524;typology;WINE;;;;;
sweetened condensed milk;1,44;1599;typology;ANIMAL MILK;;;;;
chili pepper;0,84;8280;typology;SPICIES;;;;;
herb;0,54;362;ingredient;VEGETABLES;;;;;
ground ginger;0,84;1657;ingredient;GINGER;;;;;
ricotta cheese;5,45;2470,5;ingredient;RICOTTA;;;;;
seeds;0,88;3087,5;typology;SEEDS;;;;;
cloves;0,84;61205;ingredient;CLOVE;;;;;
breast;;;no_match;NO_MATCH;;;;;
crumb;0,86;901,8;typology;BREAD;;;;;
