ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes
halibut fillet;5.190;2313.500;typology;FISH;;
clove crushed garlic;0.250;589.000;ingredient;GARLIC;;
chili bean paste;0.840;8280.000;typology;SPICIES;;
small banana;0.340;748.000;ingredient;BANANA;;
pork & bean;4.030;;ingredient;PORK AND BEEF CHILI WITH BEANS;https://apps.carboncloud.com/climatehub/product-reports/041196474725/USA;
banana flower;0.340;748.000;ingredient;BANANA;;
safflower;0.880;3087.500;typology;SEEDS;;
pork mince;3.440;4361.000;ingredient;PORK MEAT WITH BONE*;;
low sodium beef broth;36.800;;ingredient;VALU TIME, BEEF BOUILLON CUBES;https://apps.carboncloud.com/climatehub/product-reports/011225125584/USA;
package onion soup mix;0.220;290.000;ingredient;ONION;;Self-mapped
steak fillet;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;Self-mapped
collard greens;0.775;336.000;typology;VEGETABLES;;
inch fresh ginger;0.840;1657.000;ingredient;GINGER;;
boneless pork chop;5.720;6299.000;ingredient;PORK BONE FREE MEAT*;;
bean curd;0.520;555.500;typology;LEGUMES;;
chipotle chile in adobo;0.840;8280.000;typology;SPICIES;;
fat-free Italian salad dressing;1.460;572.000;typology;DRESSING;;Self-mapped
cherry preserves;1.890;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved
roll wrapper;3.150;4637.000;ingredient;EGG PASTA*;;Self-mapped
sour apple liqueur;3.390;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used sa proxy for every liquer
prepared chili sauce;0.840;8280.000;typology;SPICIES;;
prepared horseradish sauce;1.190;;ingredient;CREAM STYLE HORSERADISH;https://apps.carboncloud.com/climatehub/product-reports/070670006312/USA;Self-mapped
bubbles;2.640;2196.500;typology;BREAKFAST CEREALS;;
rib eye;17.960;10943.000;ingredient;BEEF MEAT WITH BONE*;;Self-mapped
lemon-lime beverage;2.860;1019.000;typology;FRUIT JUICE;;
pork steak;3.440;4361.000;ingredient;PORK MEAT WITH BONE*;;
gochujang;;;NO_MATCH;NO_MATCH;;
Asian pear;0.270;922.000;ingredient;PEAR;;
green lentil;0.520;5874.000;ingredient;LENTIL;;
carbonated lemon-lime;1.350;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Self-mapped
sprite;1.350;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;
white cranberry juice;2.860;1019.000;ingredient;CRANBERRY JUICE (I);;
medium ripe pear;0.270;922.000;ingredient;PEAR;;
sliced water chestnut;1.110;2750.000;ingredient;CHESTNUT;;
cranberry gelatin;1.740;;ingredient;Gélatine, sèche;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;Gélatine, sèche used as proxy for every jelly
dal;;;NO_MATCH;NO_MATCH;;
top sirloin steak;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;Self-mapped
cranberry-apple;2.150;748.000;typology;FRUIT;;
hulled sunflower seed;0.880;3366.000;ingredient;SUNFLOWER SEED;;
dried yellow split pea;0.450;1979.000;ingredient;PEA;;
lemon-lime soda;1.350;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Carbonated soft drink, aluminium can used as proxy for every carbonated soft drink
quick-cooking barley;0.480;1423.000;ingredient;BARLEY;;
dried white bean;0.430;5053.000;ingredient;BEAN;;
jar roasted red pepper;1.480;806.600;typology;VEGETABLES CANNED;;
dried soup mix;0.220;290.000;ingredient;ONION;;Self-mapped
raspberry-lemonade concentrate;2.860;1019.000;typology;FRUIT JUICE;;
borage;;;NO_MATCH;NO_MATCH;;
baby eggplant;0.190;362.000;ingredient;EGGPLANT;;
curry roux;0.840;8280.000;typology;SPICIES;;
pita bread round;0.860;667.000;ingredient;BREAD;;
grated gingerroot;0.840;1657.000;ingredient;GINGER;;
kashk;;;NO_MATCH;NO_MATCH;;
ham stock;5.990;6177.000;typology;PORK CURED MEAT;;
jeera;;;NO_MATCH;NO_MATCH;;
medium scallion;0.775;336.000;typology;VEGETABLES;;Self-mapped
pods;0.450;1979.000;ingredient;PEA;;
toasted hazelnut;1.110;11264.000;ingredient;HAZELNUT;;
quahog;;;NO_MATCH;NO_MATCH;;
hibiscus flower;;;NO_DATA;NO_DATA;;
australian beer;0.690;155.000;ingredient;BEER*;;
spear;0.830;2150.000;ingredient;ASPARAGUS;;
chopped dried apricots;0.300;1287.000;ingredient;APRICOT;;
Rotel tomato & chili;1.480;806.600;typology;VEGETABLES CANNED;;
hot pepper juice;0.650;379.000;ingredient;PEPPER;;
goldschlager;1.350;1447.000;ingredient;PLAIN CRACKERS**;;Self-mapped
sweet-and-sour mix;;;NO_DATA;NO_DATA;;
grated lime rind;0.340;642.000;ingredient;LIME;;
red seedless grape;0.310;608.000;ingredient;GRAPES;;
inch ginger;0.840;1657.000;ingredient;GINGER;;
chopped canned tomato;1.470;713.000;ingredient;TOMATO CHOPPED;;
soybeans;0.560;4615.000;ingredient;SOYBEAN;;
cooked elbow macaroni;1.210;1508.000;ingredient;PASTA*;;
canned artichoke heart;0.330;818.000;ingredient;ARTICHOKE;;
dry ice;;;NOT_FOOD;NOT_FOOD;;
green tea bag;0.400;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;
frozen white corn;0.810;750.500;typology;VEGETABLES FROZEN;;
vegetable juice cocktail;0.775;336.000;typology;VEGETABLES;;
light kidney bean;0.430;5053.000;ingredient;BEAN;;
orange-mango juice;2.860;1019.000;typology;FRUIT JUICE;;
oriental sesame oil;2.110;21793.000;ingredient;SESAM OIL;;
champignon mushroom;2.060;;ingredient;MUSHROOM*;;
chinese rice wine;2.190;1597.000;ingredient;RICE*;;
medium grain rice;2.190;1597.000;ingredient;RICE*;;
strips;;;TOO_GENERIC;TOO_GENERIC;;
chourico;;;NO_MATCH;NO_MATCH;;
piece fresh ginger;0.840;1657.000;ingredient;GINGER;;
Angostura bitters;0.840;8280.000;typology;SPICIES;;Self-mapped
fresh-squeezed orange juice;0.460;1019.000;ingredient;ORANGE JUICE;;
white corn;0.480;1191.000;ingredient;MAIZE;;
strawberry puree;0.610;413.000;ingredient;STRAWBERRY;;
roasted peanuts;0.830;2782.000;ingredient;PEANUT;;
claret wine;0.870;524.000;ingredient;WINE RED;;
mandarin orange section;0.300;654.000;ingredient;ORANGE;;
freshly ground black pepper;0.650;379.000;ingredient;PEPPER;;
dried pear;0.270;922.000;ingredient;PEAR;;
pineapple concentrate;2.860;1273.000;ingredient;PINEAPPLE JUICE (I);;
pickled jalapeno pepper;1.480;806.600;typology;VEGETABLES CANNED;;
white shoepeg corn;0.480;1191.000;ingredient;MAIZE;;Self-mapped
five spice powder;0.840;8280.000;typology;SPICIES;;
orange pulp;0.300;654.000;ingredient;ORANGE;;
large lemon;0.340;642.000;ingredient;LEMON;;
low-fat Italian salad dressing;1.460;572.000;typology;DRESSING;;Self-mapped
flavor enhancer;25.000;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Self-mapped
vegetable soup mix;0.810;339.000;ingredient;MIXED VEGETABLES (F);;Self-mapped
turkey kielbasa;5.990;6177.000;ingredient;SAUSAGES;;
Galliano;;;NO_MATCH;NO_MATCH;;
sheet rice paper;2.190;1597.000;ingredient;RICE*;;
baby lima beans;0.520;516.000;ingredient;BEAN (fresh);;
baby green;0.775;336.000;typology;VEGETABLES;;
turkey gravy mix;4.030;;ingredient;FRENCH'S, TURKEY GRAVY MIX;https://apps.carboncloud.com/climatehub/product-reports/041500057125/USA;
cooking wine;0.660;524.000;typology;WINE;;
pineapple slices;0.550;255.000;ingredient;PINEAPPLE (I);;
rack;16.700;4362.000;ingredient;LAMB MEAT WITH BONE*;;Self-mapped
cinnamon extract;0.840;15526.000;ingredient;CINNAMON;;
dried mushroom;2.060;;ingredient;MUSHROOM*;;Self-mapped
pork loin steak;3.440;4361.000;ingredient;PORK MEAT WITH BONE*;;Self-mapped
French bread slice;0.860;667.000;ingredient;BREAD;;
cabbage leaf;0.775;336.000;typology;VEGETABLES;;
light beer;0.690;155.000;ingredient;BEER*;;
medium yellow squash;0.330;336.000;ingredient;SQUASH;;
Dr. Pepper cola;0.670;;ingredient;Cola;https://livelca.com/products/cola_496c1d33-6579-44f7-b2d8-2242545d3502;
clove powder;0.840;8280.000;typology;SPICIES;;
white wine worcestershire sauce;6.700;;ingredient;Worcestershire sauce dunk;https://apps.carboncloud.com/climatehub/product-reports/id/2575458351365;
chile pepper jam;1.890;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved
mushroom soy sauce;1.460;613.000;ingredient;SOY SAUCE;;
chili beans;0.780;555.500;typology;LEGUMES CANNED;;
fresh pineapple;0.550;255.000;ingredient;PINEAPPLE (I);;
whole canned tomato;1.480;806.600;typology;VEGETABLES CANNED;;
chocolate wafer pie crust;1.530;2902.000;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;Self-mapped
hollandaise sauce;1.460;572.000;ingredient;MAYONNAISE;;
low-fat yogurt;2.550;1540.000;typology;YOGURT;;
worchestershire sauce;6.700;;ingredient;Worcestershire sauce dunk;https://apps.carboncloud.com/climatehub/product-reports/id/2575458351365;
boston butt;5.990;6116.000;ingredient;BACON;;
banana cake mix;2.150;;ingredient;CAKE MIX, VANILLA;https://apps.carboncloud.com/climatehub/product-reports/075450131420/USA;CAKE MIX, VANILLA used as proxy for every cake mix
peppermint syrup;0.930;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups
green shallot;0.250;272.000;ingredient;SHALLOT;;
yellow cherry tomato;0.450;41.000;ingredient;TOMATO;;Self-mapped
chopped cranberries;0.640;276.000;ingredient;CRANBERRY;;
Russian salad dressing;1.460;572.000;typology;DRESSING;;Self-mapped
goose liver;3.880;4325.000;ingredient;GOOSE BONE FREE MEAT;;
dash pepper;0.650;379.000;ingredient;PEPPER;;
glucose;0.780;1294.500;typology;SUGAR;;
Comfort;3.390;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used sa proxy for every liquer
fine sugar;0.780;1294.500;typology;SUGAR;;
guava jelly;1.740;;ingredient;Gélatine, sèche;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;Gélatine, sèche used as proxy for every jelly
diced green chili pepper;0.650;379.000;ingredient;PEPPER;;
marshmallow whip;5.450;3838.000;ingredient;CREAM;;
Velveeta shell;4.030;;ingredient;MACARONI & CHEESE;https://apps.carboncloud.com/climatehub/product-reports/id/1090520914685;
grated coconut;1.070;1971.000;ingredient;COCONUT (I);;
creme de coconut;0.540;2030.000;ingredient;COCONUT MILK;;Self-mapped
naan bread;0.860;667.000;ingredient;BREAD;;
rice pilaf mix;2.190;1597.000;ingredient;RICE*;;Self-mapped
pulp free orange juice;0.460;1019.000;ingredient;ORANGE JUICE;;
boston lettuce;0.410;237.000;ingredient;LETTUCE;;
large zucchini;0.700;336.000;ingredient;ZUCCHINI;;
cornbread-muffin mix;0.870;1167.000;ingredient;MAIZE FLOUR & MEAL;;
tinned chopped tomato;1.480;806.600;typology;VEGETABLES CANNED;;
hot pineapple juice;2.860;1273.000;ingredient;PINEAPPLE JUICE (I);;
solid-pack pumpkin;0.240;336.000;ingredient;PUMPKIN;;
chocolate cookie pie crust;3.160;20717.000;typology;CHOCOLATE;;
schmaltz;;;NO_MATCH;NO_MATCH;;
eel;5.190;2313.500;ingredient;EEL;;
liner;;;NO_MATCH;NO_MATCH;;
chipotle chili pepper;0.840;8280.000;typology;SPICIES;;
pitted green olive;0.640;3015.000;ingredient;OLIVES;;
pinch pepper;0.650;379.000;ingredient;PEPPER;;
macadamia nut oil;2.110;6792.000;typology;OIL;;
celery flake;0.330;362.000;ingredient;CELERY;;
bird eye chile;0.650;379.000;ingredient;PEPPER;;Self-mapped
large red pepper;0.650;379.000;ingredient;PEPPER;;
blossom;;;NO_DATA;NO_DATA;;
hazelnut spread;1.840;;ingredient;HAZELNUT CREAM;;
scrod;5.190;2313.500;typology;FISH;;
fresh milk;1.440;1599.000;typology;ANIMAL MILK;;
sweet apple;0.320;3793.000;ingredient;CAHSEW APPLE;;
kaffir lime leaves;2.150;748.000;typology;FRUIT;;Self-mapped
mandarin orange juice;0.460;1019.000;ingredient;ORANGE JUICE;;
unsalted chicken stock;2.820;3330.000;ingredient;CHICKEN MEAT WITH BONE;;Self-mapped
sugar blend;0.780;1294.500;typology;SUGAR;;
beef schnitzel;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;
minced pickled jalapeno pepper;1.480;806.600;typology;VEGETABLES CANNED;;
Chinese white rice vinegar;1.930;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;
small carrot;0.240;195.000;ingredient;CARROT;;
yellow corn flour;0.870;1889.500;ingredient;MAIZE FLOUR;;
cipollini onion;0.220;290.000;ingredient;ONION;;
green tea powder;0.400;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;
canned plum tomatoes;1.480;806.600;typology;VEGETABLES CANNED;;
reserved pineapple juice;2.860;1273.000;ingredient;PINEAPPLE JUICE (I);;
light stoneground buckwheat flour;0.870;1889.500;ingredient;BUCKWHEAT FLOUR;;
Malibu;4.630;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Self-mapped
dry bread cube;0.860;901.800;typology;BREAD;;
canned solid-pack pumpkin;0.240;336.000;ingredient;PUMPKIN;;
batter;;;NO_MATCH;NO_MATCH;;
Egg Beaters egg substitute;3.200;2562.000;ingredient;EGGS*;;
psyllium;0.880;3087.500;typology;SEEDS;;
finely chopped chive;0.775;336.000;typology;VEGETABLES;;Self-mapped
black soy sauce;1.460;613.000;ingredient;SOY SAUCE;;
yellow rice;2.190;1597.000;ingredient;RICE*;;
raw honey;1.740;;ingredient;HONEY*;;
strawberry liqueur;3.390;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer
szechwan chili sauce;0.840;8280.000;typology;SPICIES;;
cane sugar;0.620;1724.000;ingredient;CANE SUGAR;;
steamed rice;2.190;1597.000;ingredient;RICE*;;
nonfat sour cream;2.550;1540.000;typology;YOGURT;;
sazon goya;0.840;8280.000;ingredient;CORIANDER;;Self-mapped
Substitute;;;NO_MATCH;NO_MATCH;;
vanilla cake mix;2.150;;ingredient;CAKE MIX, VANILLA;https://apps.carboncloud.com/climatehub/product-reports/075450131420/USA;CAKE MIX, VANILLA used as proxy for every cake mix
tripe;;;NO_MATCH;NO_MATCH;;
mango liqueur;3.390;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer
fresh mango;0.310;1855.000;ingredient;MANGO;;
passion fruit pulp;2.150;748.000;typology;FRUIT;;
fresh blackberries;0.640;413.000;ingredient;RASPBERRY;;
rib-eye;17.960;10943.000;ingredient;BEEF MEAT WITH BONE*;;Self-mapped
parsley root;0.775;336.000;typology;VEGETABLES;;
Texas toast;0.860;667.000;ingredient;BREAD;;
orange pepper;0.650;379.000;ingredient;PEPPER;;
medium pasta shell;1.210;1508.000;ingredient;PASTA*;;Self-mapped
sweet pea;0.450;1979.000;ingredient;PEA;;
finely chopped red onion;0.220;290.000;ingredient;ONION;;
banana bread;0.860;901.800;typology;BREAD;;
stalks celery;0.330;362.000;ingredient;CELERY;;
plain white flour;0.520;1889.500;ingredient;WHEAT PLAIN FLOUR;;
aioli;1.460;572.000;ingredient;MAYONNAISE;;
canned mandarin juice;0.460;1019.000;ingredient;ORANGE JUICE;;
vegetarian baked bean;0.780;555.500;typology;LEGUMES CANNED;;
white radish;0.250;272.000;ingredient;RADISH;;
diced pineapple;0.550;255.000;ingredient;PINEAPPLE (I);;
bock beer;0.960;155.000;ingredient;BEER IN GLASS;;
old-fashioned oatmeal;2.640;2196.500;typology;BREAKFAST CEREALS;;
sheet puff pastry;2.140;1640.000;ingredient;CAKES AND CROISSANT**;;Self-mapped
instant espresso;0.550;960.000;typology;COFFEE LIQUID;;
Gold Medal all-purpose flour;0.870;1889.500;typology;GRAIN FLOUR;;
myrtle;;;NO_MATCH;NO_MATCH;;
melted chocolate;4.300;;ingredient;CHOCOLATE;;
1% low-fat milk;1.440;1599.000;typology;ANIMAL MILK;;
shredded;1.070;1971.000;ingredient;COCONUT (I);;Shredded coconut
Greek olive;0.640;3015.000;ingredient;OLIVES;;
crushed corn flake;2.640;2196.500;ingredient;CORNFLAKES*;;Self-mapped
tagliatelle pasta noodle;3.150;4637.000;ingredient;EGG PASTA*;;
giblet;3.880;4325.000;typology;POULTRY BONE FREE MEAT;;Self-mapped
teabag;0.400;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;Self-mapped
fine egg noodle;3.150;4637.000;ingredient;EGG PASTA*;;
yellow apple;0.810;6847.000;ingredient;APPLES;;
top round roast;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;Self-mapped
green peas;0.810;850.000;ingredient;PEAS (F);;
popped popcorn;1.480;807.000;ingredient;CORN CANNED;;
soybean oil;1.790;4190.000;ingredient;SOYBEAN OIL;;
crab boil seasoning;0.840;8280.000;typology;SPICIES;;
frozen fruit;2.150;748.000;typology;FRUIT;;
jars plum baby food;0.320;2180.000;ingredient;PLUM;;
jerk spice chili paste;0.840;8280.000;typology;SPICIES;;
biscuit crumb;1.350;1423.000;ingredient;CRISPBREAD**;;
white chocolate almond bark;3.160;20717.000;typology;CHOCOLATE;;
pot sticker;4.030;;ingredient;BEEF RAVIOLI IN PASTA SAUCE, BEEF;https://apps.carboncloud.com/climatehub/product-reports/064144002375/USA;Are basically chinese ravioli
garlic and red chile paste;0.840;8280.000;typology;SPICIES;;
Oreo cookie pie crust;1.530;2902.000;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;
baby rocket;0.410;237.000;ingredient;LETTUCE;;Self-mapped
box yellow cake mix;2.150;;ingredient;CAKE MIX, VANILLA;https://apps.carboncloud.com/climatehub/product-reports/075450131420/USA;CAKE MIX, VANILLA used as proxy for every cake mix
Italian-style diced tomato;1.480;806.600;typology;VEGETABLES CANNED;;Self-mapped
coconut juice;2.860;1019.000;typology;FRUIT JUICE;;
cooked sushi rice;2.190;1597.000;ingredient;RICE*;;Self-mapped
red chili-garlic sauce;0.840;8280.000;typology;SPICIES;;
sheet frozen puff pastry;1.350;1423.300;typology;CRISPBREAD;;Self-mapped
soy oil;1.790;4190.000;ingredient;SOYBEAN OIL;;
unsweetened dried shredded coconut;1.070;1971.000;ingredient;COCONUT (I);;
cheese whiz;5.450;5253.000;typology;CHEESE FRESH;;Self-mapped
ground graham cracker;0.980;1258.000;typology;CRACKERS;;
dried lime;0.340;642.000;ingredient;LIME;;
blackberry pie filling;0.640;413.000;ingredient;BLACKBERRY;;
kadaifi;;;NO_MATCH;NO_MATCH;;
7-up;1.350;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Carbonated soft drink, aluminium can used as proxy for every carbonated soft drink
brown flour;0.360;1889.500;ingredient;WHOLE WHEAT FLOUR;;
chopped dried mixed fruit;0.810;2636.500;typology;DRIED FRUIT;;
jerusalem artichoke;0.330;818.000;ingredient;ARTICHOKE;;
diced pear;0.270;922.000;ingredient;PEAR;;
Ener-G Egg Substitute;3.600;;ingredient;CAGE-FREE BETTER'N EGGS SUBSTITUTE;https://apps.carboncloud.com/climatehub/product-reports/075900299960/USA;
vanilla chips;4.300;;ingredient;VANILLA;;
sausage meat;5.990;6177.000;ingredient;SAUSAGES;;
white breadcrumb;0.860;901.800;typology;BREAD;;
pickerel;5.190;2313.500;typology;FISH;;
dish;;;NO_MATCH;NO_MATCH;;
diced red onion;0.220;290.000;ingredient;ONION;;
finely diced celery;0.330;362.000;ingredient;CELERY;;
dried mixed fruit;0.810;2636.500;typology;DRIED FRUIT;;
wholemeal flour;0.360;1889.500;ingredient;WHOLE WHEAT FLOUR;;
petite diced tomato;1.470;713.000;ingredient;TOMATO CHOPPED;;Self-mapped
corn husk;0.480;1191.000;ingredient;MAIZE;;
chestnut mushroom;2.060;;ingredient;MUSHROOM*;;Self-mapped
crispbread;1.350;1423.000;ingredient;CRISPBREAD**;;
small lemon;0.340;642.000;ingredient;LEMON;;
grain and wild rice blend;2.190;1597.000;ingredient;RICE*;;Self-mapped
orange oil;;;NO_MATCH;NO_MATCH;;
long-grain white rice;2.190;1597.000;ingredient;RICE*;;
beef eye round;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;Self-mapped
macaroni noodle;1.210;1508.000;ingredient;PASTA*;;
dried thyme leaves;0.840;8280.000;typology;SPICIES;;Self-mapped
chipotle paste;1.300;855.000;ingredient;TOMATO PASTE;;
Accent;0.840;8280.000;typology;SPICIES;;
Teddy Grahams;0.980;1258.000;typology;CRACKERS;;
bunch fresh cilantro;0.840;8280.000;ingredient;CORIANDER;;
filet of beef;17.960;10943.000;ingredient;BEEF MEAT WITH BONE*;;Self-mapped
corn beef hash;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;
tomato bouillon;1.750;;ingredient;Vegetable Bouillon, cubes;https://apps.carboncloud.com/climatehub/product-reports/id/164865146932;
mange-tout pea;0.450;1979.000;ingredient;PEA;;
dulse;0.960;;ingredient;Algae, frozen;https://apps.carboncloud.com/climatehub/product-reports/id/1345812484333;
cooked lentils;0.520;5874.000;ingredient;LENTIL;;
light soya sauce;1.460;613.000;ingredient;SOY SAUCE;;
pigeon pea;0.520;5494.000;ingredient;PIGEON PEA;;
white truffle oil;2.110;6792.000;typology;OIL;;
egg product;3.200;2562.000;ingredient;EGGS*;;
Coleslaw;1.460;572.000;ingredient;MAYONNAISE;;
friendship starter;0.860;901.800;typology;BREAD;;
carton frozen whipped topping;2.420;;ingredient;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT used as proxy for every whipped topping (panna montata)
ahi tuna steak;3.680;2313.500;ingredient;TUNA;;
crushed pineapple in juice;0.550;255.000;ingredient;PINEAPPLE (I);;
snack;1.470;1870.300;typology;BISCUITS;;
inch gingerroot;0.840;1657.000;ingredient;GINGER;;
peeled chopped apple;0.810;6847.000;ingredient;APPLES;;
Teddy Graham;0.980;1258.000;typology;CRACKERS;;
sweet milk;1.440;1599.000;typology;ANIMAL MILK;;
sour cherry;0.320;1411.000;ingredient;CHERRY SOUR;;
dashi stock;;;NO_MATCH;NO_MATCH;;
soft shortening;1.390;1324.000;ingredient;MARGARINE*;;
bran flakes;2.640;2416.000;ingredient;OAT FLAKES;;
crumpet;2.140;1640.000;ingredient;CAKES AND CROISSANT**;;Self-mapped
pouring cream;5.450;3838.000;ingredient;CREAM;;
white chocolate wafer;1.530;2902.000;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;
meatloaf mixture;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;Self-mapped
tomato slice;0.450;41.000;ingredient;TOMATO;;
red onion ring;0.220;290.000;ingredient;ONION;;
weet-bix;2.640;2196.500;typology;BREAKFAST CEREALS;;Self-mapped
hardboiled egg;3.200;3632.000;ingredient;EGGS SHELLED;;
frozen blueberries;0.780;845.000;ingredient;BLUEBERRY;;
cooked mashed carrot;0.240;195.000;ingredient;CARROT;;
jalapeno pepper juice;0.840;8280.000;typology;SPICIES;;
dried bay leaf;0.775;336.000;typology;VEGETABLES;;
chocolate sorbet;4.300;1599.000;typology;ICE CREAM;;
chopped hazelnut;1.110;11264.000;ingredient;HAZELNUT;;
lamb stew meat;25.230;10412.000;ingredient;LAMB BONE FREE MEAT*;;
toblerone;3.160;20717.000;typology;CHOCOLATE;;
green capsicum;0.775;336.000;typology;VEGETABLES;;
chocolate instant malted milk powder;27.100;;ingredient;Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux;https://agribalyse.ademe.fr/app/aliments/18167;
malted milk ball;3.160;20717.000;typology;CHOCOLATE;;
fat-free sweetened condensed milk;1.440;1599.000;typology;ANIMAL MILK;;
escargot;;;NO_DATA;NO_DATA;;
nonpareils;;;NO_MATCH;NO_MATCH;;
box spice cake mix;2.150;;ingredient;CAKE MIX, VANILLA;https://apps.carboncloud.com/climatehub/product-reports/075450131420/USA;CAKE MIX, VANILLA used as proxy for every cake mix
baked pie crust;1.350;1423.300;typology;CRISPBREAD;;Self-mapped
preserved gingerroot;1.890;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved
matzo cracker;1.350;1447.000;ingredient;PLAIN CRACKERS**;;
cold strong coffee;0.550;960.000;ingredient;COFFEE STRONG;;
real vanilla;4.300;;ingredient;VANILLA;;
rigate;;;NO_MATCH;NO_MATCH;;
chocolate flavored syrup;4.300;;ingredient;CHOCOLATE;;
sweet red wine;0.660;524.000;typology;WINE;;
bottled lemon juice;0.340;642.000;ingredient;LEMON;;
unsifted flour;0.870;1849.000;ingredient;WHEAT FLOUR;;
lemons;0.340;642.000;ingredient;LEMON;;
all-purpose white flour;0.870;1849.000;ingredient;WHEAT FLOUR;;
fresh pumpkin;0.240;336.000;ingredient;PUMPKIN;;
firmly packed light brown sugar;0.780;1294.500;typology;SUGAR;;
colored crystal sugar;0.780;1294.500;typology;SUGAR;;
bunch fresh basil;0.300;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;
dry penne pasta;1.210;1508.000;ingredient;PASTA*;;
toasted sliced almonds;1.110;16095.000;ingredient;ALMOND SHELLED;;Self-mapped
gingerbread cookie;1.470;1870.300;typology;BISCUITS;;
enriched flour;0.870;1849.000;ingredient;WHEAT FLOUR;;
grated tangerine;0.340;748.000;ingredient;TANGERIN;;
canned chicken broth;5.040;;ingredient;CHICKEN BROTH;https://apps.carboncloud.com/climatehub/product-reports/072700102278/USA;Self-mapped
amish starter;0.860;901.800;typology;BREAD;;
shelled pistachio;1.600;11363.000;ingredient;PISTACHIO;;
meyer lemon;0.340;642.000;ingredient;LEMON;;
prepared pie crust;1.350;1423.300;typology;CRISPBREAD;;Self-mapped
packages yeast;3.290;;ingredient;YEAST DRIED*;;
flavourless oil;2.110;6792.000;typology;OIL;;
jar marshmallow creme;5.450;3838.000;ingredient;CREAM;;
finely chopped crystallized ginger;0.840;1657.000;ingredient;GINGER;;
extra sugar;0.780;1294.500;typology;SUGAR;;
double-acting baking powder;1.140;;ingredient;DOUBLE ACTING BAKING POWDER;https://apps.carboncloud.com/climatehub/product-reports/039978003928/USA;Self-mapped
chocolate chip ice cream;4.300;1599.000;typology;ICE CREAM;;
corn niblets;0.775;336.000;typology;VEGETABLES;;
unsulphured molasses;0.780;1294.500;typology;SUGAR;;Self-mapped
jalapeno peppers;0.650;379.000;ingredient;PEPPER;;
weetabix;2.640;2196.500;typology;BREAKFAST CEREALS;;
bitter chocolate;3.160;20717.000;ingredient;DARK CHOCOLATE;;
ground nut;1.110;11264.000;typology;NUTS;;
chipotle chili sauce;0.840;8280.000;typology;SPICIES;;
